0_normal,1_benign_lesion,2_malignant
-0.0011818770559132233,0.004642865887182013,-0.02948998208930053
-0.00027989254265686986,0.0033464175557118285,-0.012541403948316914
0.0006576613905786509,0.0019758228808840366,0.0006233815312868753
0.0015438893365623224,0.0014663419612344407,0.008573756979537491
0.0017187246537424636,0.0012813783509078485,0.016821512362795252
0.0017700400140002492,0.0015903624519607751,0.018516650442947525
0.0016502404201556341,0.002802200927358302,0.01072787710559301
0.0014561167458741174,0.0033310021947029894,0.0034925371432261835
0.001713788599646172,0.002044332882394708,0.0005289790959786025
0.0023341706972681195,0.0006594943963708854,-4.845679152705719e-05
0.003040201126425929,-0.0009420604135029782,-6.37913045567196e-05
0.004464549897081657,-0.004795551163393035,2.5849788313889273e-05
0.0062584532815859765,-0.01116438358439046,8.438128509574919e-06
0.005611821035586675,-0.010501491972775721,0.0007728370507553128
0.004676352759928827,-0.007116113504378982,0.001334265202247451
0.004042497178164014,-0.0041956563522522585,0.0008743553578969422
0.003414657968970152,-0.0016181089493314885,0.00041807418642591994
0.0027695634317544604,0.0012006765445303675,0.0011903051872224999
0.00240012876531091,0.0027301711805481016,0.0023071575854520013
0.0024078921770988152,0.0034143260168192128,0.0021450605115103816
0.002400857569674267,0.004238768703071011,0.002725942690311012
0.002281720581860805,0.005288299123913753,0.0025385093340825216
0.0018099380738177417,0.006242757309174595,0.001225709270177379
0.0014162459952372696,0.007218525239102059,0.0007069169119174186
0.0009669477545615802,0.007986081378894222,0.0006301352426075073
0.0007028348889398157,0.008125128807590266,0.0005962392703664589
0.0013055770456901169,0.006158252914423163,0.0016471135755459555
0.001672264799065004,0.004581518775965517,0.007303070719209602
0.0019597770541418006,0.0036183446308404297,0.013764735780537489
0.002653916435021638,0.0028032949592157437,0.01948801689827432
0.00336422805838684,0.001726886432978592,0.021606366492217643
0.0033529761709080504,0.0011039891722088929,0.012014466598164141
0.003130595981025118,0.00107301856687429,0.0033009058481331052
0.0029255836488659825,0.001266348652017323,0.0009195995063374403
0.0026876896801200246,0.0014263718936629748,0.0003231833895008165
0.0024255023189014577,0.001646532304637666,-6.109265615077078e-06
0.0018891635020535833,0.002340478671723914,-0.0004599742303554584
0.0015552715345066737,0.004017036830845234,-0.0007319320920093025
0.0014464266203299838,0.005960455808898152,-0.0009458253916951818
0.001764386771237378,0.007864651846650954,-0.0006584946086802137
0.0020253865143236393,0.007996057887374551,-0.0003693702580683832
0.0022980964312519832,0.00507640002217762,-5.9899207271319374e-05
0.00280732899577828,0.0029600644223773554,0.0001704778860250426
0.0033271938641133516,0.0015755683731190173,0.0006452026797976945
0.003444386959191266,0.0011501602984453506,0.0010679655185875303
0.003108805408055432,0.0013104432768340436,0.0028147601375633664
0.00299780085222439,0.0015813561823664593,0.008055063294315991
0.002579733903259541,0.0018779041393891752,0.011029295981835753
0.0021548903469446913,0.0023892284814311404,0.005271053811185616
0.0023116385611375405,0.002645507095270975,0.0039769642242983
0.002448948171921128,0.0027958035888063287,0.0025836636743045414
0.0027233751239733347,0.003282168944141105,0.0013836250117531179
0.0029057225960628826,0.0029769932504482,0.0013536167204028747
0.0030110185986544384,0.0019783298354298165,0.0018264595178024221
0.0032663435818629833,0.0013962632383629223,0.0019081998022991127
0.003584071927465598,0.001025755535424986,0.002739962326010779
0.0036865036422508678,0.0003301838470682134,0.005073263932741841
0.0035567117349713717,0.00019221004929348713,0.004406294051495382
0.003231425678915891,0.00137187605580621,0.0026048429854287486
0.002483504041653615,0.002552705528492063,0.0008175492321553948
-9.188713108067375e-05,0.007104784411651217,-0.00473898510778623
-0.006370505976109936,0.018579520164390538,-0.03516204244624235
-0.009476773647464274,0.03229412067787811,-0.0836788196449162
-0.012280692697763992,0.0473695077313883,-0.12752250657835773
-0.016386448965543924,0.062439731810809904,-0.16046644249057862
-0.01503486248654056,0.06192793504374665,-0.17614010743484124
-0.011312667182938402,0.04986206758517326,-0.17750844313699204
-0.009713777437823567,0.03893484133851116,-0.1552492535308629
-0.008054160707757985,0.02795340215900539,-0.12195977639634578
-0.0057250121064377334,0.01664359712431618,-0.08406168191749114
-0.004061494683254463,0.011590491567428899,-0.048123386671913904
-0.003849206931358239,0.010310351096131359,-0.020836000117802466
-0.003190139015193961,0.008179675894520221,-0.015599258006339682
-0.001428730404012415,0.004824040654671655,-0.010012893505048439
0.0007915333497475552,0.002628262795071347,-0.0024121840944405105
0.0024852489990561423,0.0017211120100594963,-3.1969737159843616e-05
0.0026294034252191336,0.001404221877362129,0.00031921059983064647
0.002851592673596075,0.001624410342985852,0.0009224255809524527
0.0031925203916554246,0.0021641298021032604,0.001784379368547131
0.0030922883593686216,0.0027326602674722558,-0.000137442541795422
0.0025425261108090965,0.0038144998693000844,-0.00737200577422067
0.002071418461583274,0.005063394083012034,-0.016475319107192733
0.002171553229974392,0.007101544203343907,-0.02016337946748921
0.0023168274493528913,0.008862535214682964,-0.01938778514085392
0.003052545495693016,0.008200892050217028,-0.007440103967960591
0.0029051304309403165,0.006703848855242509,-0.0022992215030416584
0.0025165852806941346,0.005406113498351223,-0.0007212068962319395
0.0023842191786723078,0.004186428318287682,0.0004811692353825911
0.003134971246787143,0.0017661624217719003,0.0026182333132536446
0.0038364383360476695,0.0007247214438055233,0.0038673769546650285
0.004442343186673128,0.00019221441916667415,0.0038472202466484505
0.004118166703704891,0.00013994349577860465,0.004186495312663795
0.003895207843642815,2.743996243543377e-05,0.006335573629505548
0.0035648769456719975,0.00016205959419229412,0.01014999423626454
0.003504469173980019,0.0005180099327491761,0.018365046415957507
0.0036215953114284586,0.00034717581568858907,0.03841361141369192
0.0038307522614720673,0.00011666480335396397,0.055683731889569696
0.0046232483338592405,-7.76335701506424e-05,0.07217429100919648
0.005478128846848505,-0.00040821047112140664,0.07418438489187187
0.005883952943308525,-0.0005225478864619743,0.06535279827086804
0.005740688643396123,-5.9915113217148504e-05,0.04646174054990069
0.0055811074021178825,0.0008141099212238486,0.035551750239935793
0.0052151415710194535,0.00236869474964542,0.022919365848549596
0.005472486038388558,0.004479053132781642,0.013923712096587599
0.0054380776074289695,0.005866845254802201,0.008260314241908496
