gsm,cond,n_immune,Treg_pct,Mac_pct,NK_pct,CD8_pct,M2_in_mac,CD8_exh,NK_cyt,dataset
GSM6595250,Endometriosis,1654,1.5114873035066507,11.85006045949214,27.20677146311971,10.822249093107619,0.6839569382605201,-0.021563692009553655,1.9195796853549898,GSE179640
GSM6595251,Endometriosis,575,1.7391304347826086,8.347826086956523,14.782608695652174,25.565217391304344,0.8599373499955982,-0.06897185264222244,1.4801373596031122,GSE179640
GSM6595252,Endometriosis,2442,2.9074529074529076,38.615888615888615,12.48976248976249,18.345618345618345,0.678205593514196,-0.05415811983207051,1.5881568700496709,GSE179640
GSM6595253,Endometriosis,486,1.02880658436214,24.279835390946502,11.316872427983538,35.59670781893004,1.1686041989770986,-0.08959705917663953,1.3442853345375558,GSE179640
GSM6595254,Endometriosis,923,1.8418201516793065,16.468039003250272,9.209100758396534,9.967497291440953,0.8220817338430176,-0.025870463208382176,0.8302567709413898,GSE179640
GSM6595255,Endometriosis,305,0.0,26.229508196721312,17.04918032786885,3.934426229508197,0.9286580250635744,,1.531271589418034,GSE179640
GSM6595256,Endometriosis,1318,9.787556904400606,20.106221547799695,16.084977238239755,16.084977238239755,1.3425076573479848,-0.04294607988489928,1.6353420179279026,GSE179640
GSM6595257,Endometriosis,1594,12.421580928481808,25.156838143036385,21.9573400250941,15.87202007528231,1.5878339380449489,-0.03456599092779693,1.7680733070178907,GSE179640
GSM6595258,Endometriosis,970,4.948453608247423,12.989690721649486,20.0,23.711340206185564,1.2257685546399582,-0.00908270694424647,1.475940909046839,GSE179640
GSM6595259,Endometriosis,185,2.7027027027027026,11.351351351351353,35.13513513513514,11.891891891891893,1.4834674171039037,-0.03172439108266459,1.6383101984380366,GSE179640
GSM6595260,Endometriosis,306,0.9803921568627451,7.516339869281046,39.21568627450981,17.973856209150327,0.793006161166274,-0.04029022986919849,1.9119969346636816,GSE179640
GSM6595261,Endometriosis,337,3.2640949554896146,19.584569732937684,40.652818991097924,6.824925816023739,1.4687095943883515,0.06380980580489828,-0.36567602096372154,GSE179640
GSM6605431,Endometriosis,2560,2.0703125,3.8281250000000004,46.5234375,25.234374999999996,1.1948145537808232,-0.03711981557935068,1.1586375647851197,GSE214411
GSM6605432,Endometriosis,1917,4.590505998956703,11.267605633802818,54.564423578508084,14.084507042253522,1.1648495055707517,-0.009367878685300313,1.5123175595538338,GSE214411
GSM6605433,Endometriosis,3028,4.359313077939234,3.8639365918097752,46.4663143989432,20.640686922060766,0.7606092097591132,-0.05828759941602434,1.343801862840205,GSE214411
GSM6605434,Endometriosis,2568,2.4922118380062304,6.347352024922118,47.50778816199377,19.003115264797508,1.077277241233119,-0.04393984139593759,1.3619900228146646,GSE214411
GSM6605435,Endometriosis,2134,2.0618556701030926,4.264292408622305,59.8875351452671,18.04123711340206,0.8604206702571648,0.001078762456614365,0.8808875972079185,GSE214411
GSM6605436,Endometriosis,1895,1.7941952506596308,3.113456464379947,53.825857519788926,22.269129287598943,0.5771765411405241,-0.04879967081732417,1.1582455155301827,GSE214411
GSM6605437,Control,1048,0.4770992366412214,7.729007633587787,67.4618320610687,8.874045801526718,0.8786950898464816,-0.07026400525375812,1.4962281083357312,GSE214411
GSM6605438,Control,726,2.7548209366391188,8.953168044077135,33.33333333333333,36.50137741046832,1.4993071094292865,-0.07461968089923704,0.7366581284282058,GSE214411
GSM6605439,Control,4559,2.2153981136214083,10.704101776705418,32.83614827813117,32.41939021715288,1.6001852160160903,-0.01811437700021988,1.1652045843744336,GSE214411
GSM6605440,Control,1220,2.7868852459016393,14.918032786885247,26.229508196721312,35.16393442622951,1.507578751408792,-0.027334778660581465,0.9182343514577618,GSE214411
