gene,lfc,p,nlp
PPP2R1B,-1.0841809676318732,0.06228758541401436,1.2055985042790898
PPP2R3A,-0.7789202881490345,0.18442710318117206,0.7341752552071492
PPP2R5C,-0.5176226131207324,0.410164898774263,0.38704150857251973
PPP4C,0.12045052331524567,0.8254552010614736,0.08330649170432722
PPP6C,-0.04772070140448512,0.859005516455162,0.06600404716020845
PPY,-0.03910503702951347,0.9461143318272137,0.024056378734169118
PRELP,0.8492823243938281,0.2950499255839378,0.5301044905606176
PREP,0.3143526899084826,0.6270165836068127,0.2027209726083826
PRG2,0.34104612743808044,0.6431688517442036,0.19167499635408972
HHEX,0.2929782475710328,0.6967605968765933,0.15691641747646937
PRKACA,0.11138486595565844,0.8023225914988261,0.09565097892408549
PRKACG,-0.6000834651478811,0.3691983040782511,0.432740302584232
PRKAG1,0.42520231285389815,0.5721479182262174,0.24249167791210777
PRKCA,0.343151836911803,0.6281180903031052,0.20195869838755812
PRKCI,0.6978481124370974,0.48836523733659193,0.31125525744256244
PRKD1,0.4560158467595416,0.3077192714911509,0.5118453044019351
PRKCSH,0.21906741842862515,0.4867908064415409,0.3126576324744519
PRKCZ,0.17394439939743536,0.7164224075904466,0.14483083915369305
MAPK4,-0.607898343373354,0.040871262851586626,1.3885819431300417
MAPK6,-1.0040953770352332,0.024436813483550545,1.611955425955454
MAPK8,0.27770414732882226,0.46652758167230785,0.33112267514581073
MAPK11,-0.4974362440117622,0.25691020863715286,0.5902186381754765
MAPK13,0.09861028707351842,0.8486673370429622,0.0712625123455322
MAP2K1,0.9080313608704305,0.13336197656816703,0.8749679764202527
MAP2K6,-0.021586274838594433,0.9558622065428486,0.019604709451139523
PRM1,0.12138955521117092,0.5491110915090471,0.2603397838766264
PRM2,0.7938091536051841,0.1586020049885167,0.7996913267917746
PRPSAP2,0.2934362249365682,0.09943778900194486,1.0024485407916939
CHMP1A,0.1826374829715097,0.8020971909905088,0.09577300459179762
PRSS3,-0.7706778725461564,0.16431129977039066,0.7843325688888553
PRSS8,0.8247172999497956,0.28455863254272223,0.5458282348358301
HTRA1,-1.2914211643996691,0.164098212880494,0.7848961486261646
PSG5,0.7047598108862796,0.28128549315751106,0.5508526652898377
PSG7,0.1442405749244935,0.8318493234919626,0.07995533224553658
PSMA2,-0.6559278039409282,0.12443348870615621,0.905062722514889
PSMA4,-0.08164091443255543,0.8639311515966164,0.06352086593900062
