,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,pair,nlp
256,Macrophage,Treg,HLA-DRA,CD4,2.4712489,0.0,3.4091175,1.8791612037299656,2.5878704069014944,0.03452247,0.9500216,0.0055676254101809,0.0006970460735989,HLA-DRA → CD4,2.2543299917459
320,B,Treg,HLA-DRA,CD4,2.309288,0.0,3.140682,1.7641776510814648,1.758279066972102,0.031804156,0.9480383,0.0092699105961982,0.0011154940502374,HLA-DRA → CD4,2.0329244543954186
346,Endothelial,Treg,CD59,CD2,2.0594988,0.0,4.199462,1.915968777438851,2.027665812866699,0.06969056,0.95474565,0.004897992465156,0.0012484796047255,CD59 → CD2,2.3099818873092404
348,Mono,Treg,VCAN,CD44,2.0564919,0.0,3.531825,1.5038977619642355,1.9642046200114045,0.05145549,0.9508545,0.0259717129096111,0.0012573142526562,VCAN → CD44,1.5854994064484738
353,Mono,Treg,S100A8,ITGB2,2.3205414,0.0,3.058122,2.1356960944447465,3.0621091092025035,0.06318306,0.9473782,0.0017701459525106,0.0012840039624631,S100A8 → ITGB2,2.751990923606144
449,Macrophage,Treg,HLA-DRB1,CD4,2.1437461,0.0,2.8663116,1.8352701381036185,2.370487453489327,0.03497966,0.94574,0.0066834316069879,0.0017697033323806,HLA-DRB1 → CD4,2.1750004918195045
464,Macrophage,Treg,HLA-DPA1,CD4,2.1237297,0.0,2.833136,1.950138965952065,2.572709986970604,0.03564667,0.94544053,0.0042441300749706,0.0018760809162809,HLA-DPA1 → CD4,2.3722113142202055
481,CD4T,Treg,CD48,CD2,1.9613489,0.0,3.7549179,2.0800932032981176,2.0842032631349934,0.041935157,0.95226604,0.0023193498597563,0.0020022139129784,CD48 → CD2,2.6346337357512963
503,pDC,Treg,HLA-DRA,CD4,2.064938,0.0,2.7356944,1.59070351267902,1.4040920784348203,0.027703043,0.9445308,0.0210618909110037,0.002143919664327,HLA-DRA → CD4,1.6765026409686778
524,CD8T,Treg,CD48,CD2,1.9332004,0.0,3.6274269,2.042286517225502,2.061928025666682,0.04051133,0.9514748,0.0027898440792168,0.0022725845531886,CD48 → CD2,2.554420068205969
