x,y,burden,stage
9.56152,4.8873305,0.016423805715457283,0_normal
14.641025,7.628346,0.003647172955905358,0_normal
6.7218733,18.690641,0.018816649767486374,1_benign_lesion
8.560249,4.701605,0.0026954576083414597,0_normal
-5.2243056,10.068986,0.020521150999392574,2_malignant
13.805235,7.1900663,0.005774489545923101,0_normal
9.833144,5.67536,0.0039864106827546325,0_normal
11.5400715,5.0862556,0.0038666939943497883,0_normal
-0.82245904,9.642623,0.02919982921293384,2_malignant
-3.1122017,7.3356314,0.021850450534900305,2_malignant
14.019368,14.020914,0.012919873293325987,0_normal
9.613119,1.2735069,0.00896071367828784,1_benign_lesion
1.8075455,-1.0308863,0.024703611413932958,2_malignant
11.116015,6.5167627,0.004471579263648575,0_normal
10.311632,6.1099143,0.010007222382786745,1_benign_lesion
8.722554,5.664585,0.006839043278906655,0_normal
10.736503,6.6822543,0.0026280471439893757,0_normal
-4.373018,13.4652405,0.021958295911562117,2_malignant
0.97568506,-2.234195,0.0285760843106638,2_malignant
-6.039904,9.545302,0.020418292844775508,2_malignant
5.641812,3.6223876,0.004094843022569099,0_normal
14.623738,13.880216,0.004475000423027817,0_normal
-3.2524824,4.6701775,0.020592749143627208,2_malignant
11.356783,8.913827,0.0017968663072721813,0_normal
-5.8576245,12.333578,0.02933503507654419,2_malignant
8.796045,4.1812243,0.010039553345390775,2_malignant
-4.8384786,11.120304,0.024130962055538507,2_malignant
-2.8184173,8.048831,0.02099093622791508,2_malignant
-0.64478344,9.413317,0.02504016918526997,2_malignant
13.944776,14.563954,0.009987913180817163,0_normal
-3.0179987,13.044272,0.028306843219138293,2_malignant
-2.3089762,10.601567,0.028061580732883135,2_malignant
9.633745,5.485063,0.004889986319066255,0_normal
13.416847,4.548191,0.004777942225057484,0_normal
7.2608166,7.0450997,0.006783529556364623,1_benign_lesion
-4.189322,10.249596,0.020237475412141187,2_malignant
9.120518,9.252522,0.003606055910179873,0_normal
-4.5741596,9.953548,0.015667767659996588,2_malignant
-3.837591,11.759957,0.01802835555173536,2_malignant
-2.589192,6.351623,0.02092517817096719,2_malignant
6.1883583,16.724411,0.02195541168709392,0_normal
-2.879368,2.7703109,0.015849533188945716,2_malignant
6.621924,5.536796,0.004257834930038506,1_benign_lesion
-4.487122,9.266534,0.028698600962354142,2_malignant
-2.3067496,9.457771,0.019949259069278417,2_malignant
9.501932,11.353714,0.003978306399967646,0_normal
12.921695,6.3317657,0.010820252990530228,0_normal
14.458939,14.158431,0.017286712558415476,0_normal
9.72008,11.392252,0.007230343734587691,0_normal
12.626616,7.1807446,0.012099775279666354,0_normal
11.139064,5.042624,0.006610577395757232,0_normal
8.638313,7.0735197,0.016494467890268833,0_normal
5.0607777,6.871734,0.015469146403982028,1_benign_lesion
-3.875283,6.667979,0.013660055622501105,2_malignant
-4.72381,9.26842,0.018856748843895273,2_malignant
4.8882303,7.3345933,0.009402241910427331,0_normal
11.248748,6.6376076,0.0028757361302794247,0_normal
9.912384,4.4715633,0.019152828535621218,0_normal
12.087009,6.9793725,0.013661493424013247,0_normal
13.036234,5.135223,0.008328017846902375,0_normal
10.4372015,5.28369,0.0027683448691911837,0_normal
6.354356,17.338966,0.020007133689920246,0_normal
-3.717027,6.847297,0.01261136397505363,2_malignant
12.08475,4.691803,0.003190676266023793,0_normal
8.941688,6.6027207,0.014543479675514946,0_normal
-3.439079,8.87113,0.02797532219879681,2_malignant
14.316688,7.601975,0.0016757977700856735,0_normal
1.3377662,-2.213591,0.01965122059982368,2_malignant
5.9091086,3.4458075,0.019461732918510343,0_normal
8.440505,6.9419723,0.004197498974627003,1_benign_lesion
-2.506948,9.680977,0.02921611361190901,2_malignant
-5.023466,11.071802,0.0242910840715998,2_malignant
-3.3865285,8.52373,0.020225060507123294,2_malignant
9.055133,4.5794888,0.01876177776645138,0_normal
-0.58600354,12.135666,0.02209356726667357,2_malignant
5.8664675,19.305489,0.01742505909918733,1_benign_lesion
