names,scores,logfoldchanges,pvals,pvals_adj
UBE2E1,87.877754,1.5968,0.0,0.0
TUBD1,25.268663,1.5958283,7.063237495171795e-141,2.372894234726088e-140
PPL,50.671974,1.5956821,0.0,0.0
KRBOX4,15.493987,1.5951555,3.8091853664638193e-54,1.0349180593585114e-53
NAV2,51.18187,1.5948896,0.0,0.0
CTNNA1,175.66536,1.5942272,0.0,0.0
IRAK1BP1,24.513435,1.5941919,1.0621555525234407e-132,3.513942803721398e-132
LNPEP,63.725243,1.5941099,0.0,0.0
EDEM3,31.39174,1.5931218,2.6229790455444817e-216,9.87085143557137e-216
CA8,22.502338,1.592503,3.9374296305196986e-112,1.2518550494104942e-111
RMDN2,10.498927,1.5924392,8.73678658540851e-26,2.0828070385655387e-25
MFSD8,28.655815,1.5924045,1.3567607873254466e-180,4.865818077449653e-180
SCNN1A,91.98646,1.592379,0.0,0.0
TTC26,31.125559,1.5914816,1.086491186697477e-212,4.0684865258910087e-212
ACVR2A,13.049207,1.5901525,6.421252482252506e-39,1.6424390281586531e-38
CUTC,25.2516,1.5900984,1.087631308073248e-140,3.6522347654540614e-140
TARSL2,27.593977,1.5899987,1.3141892859205646e-167,4.6161543491417e-167
IPPK,12.78293,1.5895385,2.0422781532772958e-37,5.1900579919344704e-37
OTUD7B,62.04982,1.5874425,0.0,0.0
CCM2,34.057655,1.5866185,3.1265914006554295e-254,1.23087913693314e-253
MACO1,39.81909,1.5857913,0.0,0.0
MYO5C,71.115814,1.5845387,0.0,0.0
IFT122,37.926037,1.5842983,0.0,0.0
ST3GAL4,21.660011,1.583571,4.891099083024041e-104,1.530184934015255e-103
CBR4,54.98289,1.5834438,0.0,0.0
ERICH1,64.844124,1.5822611,0.0,0.0
ELOA-AS1,6.704679,1.5820558,2.0184932903617318e-11,4.264280073285301e-11
AL161431.1,9.902,1.5820253,4.0803198003619334e-23,9.571960891697481e-23
SUSD1,9.13392,1.5817785,6.60628241923093e-20,1.5127444156318965e-19
OTUD6B,22.574879,1.581602,7.651908965695161e-113,2.4359731754741065e-112
VGLL4,115.53363,1.5800303,0.0,0.0
EPB41L3,7.1008973,1.579871,1.2394934738800552e-12,2.6571500750401472e-12
TEX10,26.962746,1.5794772,4.0437020197100025e-160,1.4025196222931218e-159
TMEM161B,30.164106,1.5775733,7.00652014201123e-200,2.580475677146316e-199
AGAP3,26.728004,1.5769584,2.2252304026505842e-157,7.68370600915245e-157
ACTN4,162.80573,1.576481,0.0,0.0
RSU1,51.448772,1.5762771,0.0,0.0
BANK1,12.885801,1.576218,5.411056529750144e-38,1.3780810635922533e-37
ATP10D,16.819185,1.5760174,1.7657184572695037e-63,4.948435611954868e-63
VLDLR-AS1,10.937674,1.5759994,7.612822231357241e-28,1.8397483331346604e-27
MZF1-AS1,14.812934,1.5756412,1.2084881682852275e-49,3.230731089033385e-49
FARSB,47.427956,1.575553,0.0,0.0
GRHL1,17.228796,1.5751579,1.61476212050087e-66,4.570490311357298e-66
ATP8B2,8.514254,1.5748636,1.6766676417011227e-17,3.7686097929238967e-17
ZNF420,12.162674,1.574566,4.912406436432099e-34,1.2294547170763614e-33
GATAD2A,70.97447,1.5707858,0.0,0.0
TLE1,106.90041,1.5699562,0.0,0.0
ZNF594,9.110849,1.5697937,8.173958957532164e-20,1.8696902247554206e-19
NAA35,47.35658,1.5691563,0.0,0.0
NPIPB15,18.91082,1.5689521,9.290070587991006e-80,2.7269958694172406e-79
RNF144B,45.657646,1.5688627,0.0,0.0
KAT2B,13.748854,1.568776,5.174261138370199e-43,1.3469316944294075e-42
XRCC2,7.533985,1.5684229,4.9214676304548635e-14,1.0715250249010699e-13
PUDP,25.06516,1.5679932,1.1933262002720887e-138,3.98630347217588e-138
ZNF439,13.877019,1.5679535,8.729945332759873e-44,2.2789540812977284e-43
PRKAR2B,8.323164,1.5677816,8.564567514603111e-17,1.912086479974521e-16
NUP58,57.537666,1.567759,0.0,0.0
OPA3,30.628485,1.5676684,5.112728584656225e-206,1.8967195364936976e-205
ITPR3,56.392776,1.5673118,0.0,0.0
KCNK5,11.592215,1.5670575,4.513115590615387e-31,1.1119925189059021e-30
PWWP2A,40.920242,1.5670531,0.0,0.0
LHFPL6,9.699824,1.565252,3.020193883334611e-22,7.044733441932943e-22
DMD,18.217804,1.5648274,3.728148337536792e-74,1.0783839789152852e-73
PARD6B,79.81423,1.5641618,0.0,0.0
TTC21B,39.42095,1.5641071,0.0,0.0
EIF2B3,32.698177,1.563995,1.6577447540489533e-234,6.36251658267034e-234
ELL2,53.422043,1.5636297,0.0,0.0
LINC01578,10.6140375,1.563548,2.564221766351683e-26,6.136261649948557e-26
POLK,56.151554,1.5632559,0.0,0.0
ANAPC7,52.86266,1.5629221,0.0,0.0
EFTUD2,39.823807,1.5628097,0.0,0.0
DPP8,46.902874,1.5626241,0.0,0.0
ZNF276,24.604801,1.5620743,1.122246019585045e-133,3.718573267318938e-133
ARHGAP23,11.454504,1.5616337,2.232380969028275e-30,5.478907082397354e-30
USP10,67.46192,1.5615224,0.0,0.0
