state,gene,n_cells,mean_expr,frac_pos,gene_state
CD4T,VCAN,16907,0.04006733000278473,0.030165020405749098,Mono
CD4T,LILRA4,16907,0.00034716870868578553,0.00023658839533920861,pDC
CD4T,CLEC4C,16907,0.0,0.0,pDC
CD4T,IRF7,16907,0.23696790635585785,0.1675637309989945,pDC
CD4T,TPSAB1,16907,0.001403033616952598,0.0012420890755308453,Mast
CD4T,CPA3,16907,0.0014901008689776063,0.0011829419766960431,Mast
CD4T,KIT,16907,0.06450991332530975,0.04282249955639676,Mast
CD8T,CD3D,14133,2.050225257873535,0.8718601853817307,CD4T
CD8T,CD3E,14133,1.5503177642822266,0.770678553739475,CD4T
CD8T,IL7R,14133,0.7183052897453308,0.3290171938017406,CD4T
CD8T,CCR7,14133,0.1683111935853958,0.10719592443218,CD4T
CD8T,CD8A,14133,1.3996723890304565,0.6741668435576311,CD8T
CD8T,CD8B,14133,0.9464137554168701,0.5150357319748107,CD8T
CD8T,GZMK,14133,1.8584386110305786,0.6947569518149013,CD8T
CD8T,FOXP3,14133,0.0020519220270216465,0.0017689096440953796,Treg
CD8T,IL2RA,14133,0.015781033784151077,0.012594636665959103,Treg
CD8T,CTLA4,14133,0.033033281564712524,0.023137338144767566,Treg
CD8T,IKZF2,14133,0.1034519225358963,0.07153470600721715,Treg
CD8T,NKG7,14133,2.2619919776916504,0.8574258826859124,NK
CD8T,GNLY,14133,1.036065936088562,0.3827212905964763,NK
CD8T,KLRD1,14133,0.5916198492050171,0.3043232151701691,NK
CD8T,NCAM1,14133,0.04367663711309433,0.03346777046628458,NK
CD8T,MS4A1,14133,0.08352568745613098,0.05879855656973042,B
CD8T,CD79A,14133,0.008589435368776321,0.006226561947215737,B
CD8T,CD19,14133,0.00024742697132751346,0.00028302554305526076,B
CD8T,MZB1,14133,0.057164836674928665,0.04485954857425883,Plasma
CD8T,JCHAIN,14133,0.008280222304165363,0.0063680747187433665,Plasma
CD8T,XBP1,14133,0.4158041179180145,0.2833793249840798,Plasma
CD8T,CD68,14133,0.02359924279153347,0.017689096440953796,Macrophage
CD8T,CD163,14133,0.009604023769497871,0.008066227977074932,Macrophage
CD8T,MRC1,14133,0.00545220822095871,0.0036793320597183895,Macrophage
CD8T,C1QA,14133,0.024214377626776695,0.016769263426024198,Macrophage
CD8T,LYZ,14133,0.07822205126285553,0.06240713224368499,Mono
CD8T,S100A8,14133,0.058175716549158096,0.04266610061558056,Mono
CD8T,FCN1,14133,0.011159702204167843,0.00997665039269794,Mono
CD8T,VCAN,14133,0.05589819326996803,0.038066935540932566,Mono
CD8T,LILRA4,14133,0.00023511679319199175,0.00021226915729144556,pDC
CD8T,CLEC4C,14133,0.00018781240214593709,0.00014151277152763038,pDC
CD8T,IRF7,14133,0.17139139771461487,0.12361140592938513,pDC
CD8T,TPSAB1,14133,0.0013811171520501375,0.0009198330149295974,Mast
CD8T,CPA3,14133,0.0014968544710427523,0.0009905894006934125,Mast
CD8T,KIT,14133,0.0018765960121527314,0.0016981532583315645,Mast
Treg,CD3D,2229,2.005509853363037,0.8627187079407806,CD4T
Treg,CD3E,2229,1.5593008995056152,0.7904890085240018,CD4T
Treg,IL7R,2229,1.1433906555175781,0.5697622252131,CD4T
Treg,CCR7,2229,0.3269560635089874,0.19246298788694483,CD4T
Treg,CD8A,2229,0.030867328867316246,0.01973979362943024,CD8T
Treg,CD8B,2229,0.03029531240463257,0.01973979362943024,CD8T
Treg,GZMK,2229,0.09340759366750717,0.04845222072678331,CD8T
Treg,FOXP3,2229,0.8786150217056274,0.5343203230148048,Treg
Treg,IL2RA,2229,0.9747152924537659,0.5195154777927322,Treg
Treg,CTLA4,2229,1.0873432159423828,0.6074472857783759,Treg
Treg,IKZF2,2229,0.6641328930854797,0.4329295648272768,Treg
Treg,NKG7,2229,0.16920511424541473,0.09914759982054733,NK
