source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
SmoothMuscle,CD4T,LAMA5,CD44,0.7258642,0.0,0.40296453,0.5432828251352191,0.4775911670281078,0.02006401,0.8672908,0.05851709003452131,0.4520744487507096
Treg,Epithelial,FAM3C,LAMP1,0.46929598,1.0,0.1240393,-0.1322074827991872,-0.18000957716868157,0.0036060289,0.78382355,1.0,0.45209069771163873
Stromal_Fib,CD8T,SDC2,PTPRJ,0.39279693,0.0,0.107328944,0.3403911109665984,0.48738918386569585,0.023541324,0.7713128,0.07025784808684099,0.452144172853304
Endothelial,Mono,ANXA1,FPR2_FPR3,0.7257315,0.0,0.30387357,0.4523377107166424,0.349502117444913,0.02153543,0.85019046,0.05851709003452131,0.4521442628753167
Mono,NK,HLA-E,KLRC3_KLRD1,1.1415694,0.0,0.3009199,0.8458757915381936,0.41269287887015416,0.06273899,0.8495674,0.05851709003452131,0.4521442628753167
Stromal_Fib,Epithelial,PSEN1,NOTCH3,0.111485735,1.0,0.011885201,-0.11063301692539113,-0.23000430128476032,0.002456983,0.5288272,1.0,0.45217560846669
pDC,NK,LMAN1,MCFD2,0.4621319,1.0,0.12406382,-0.18918991524645362,-0.2024917016465549,0.0039663585,0.7838403,1.0,0.4521976522116422
SmoothMuscle,Mono,ANGPTL2,LILRB2,0.5787935,0.0,0.09770353,1.336272645066618,0.831631158873421,0.09280954,0.76292056,0.015380531189535678,0.452250983838872
CD8T,Mono,GNAI2,S1PR4,0.7255805,0.0,0.3745189,0.38890891272441164,0.3029483779203955,0.0074340147,0.86302096,0.4974827698776975,0.4522839032277432
pDC,Treg,ITGB2,CD226,0.4058231,0.0,0.12408406,0.3734170061549975,0.1043262967276066,0.009669856,0.7838542,0.2978100168045349,0.452304471619075
Endothelial,Epithelial,SEMA4C,PLXNB2,0.39273012,0.0,0.11282785,0.506209109997011,0.3751865865529481,0.043333396,0.7756896,0.05851709003452131,0.452304471619075
Macrophage,pDC,TNF,NOTCH1,0.11654741,0.0,0.0118856495,0.1219329005838692,0.04054730555640575,0.005597019,0.5288319,0.9068027582833458,0.45234482622160044
Epithelial,B,SPP1,CD44,0.72557473,0.0,0.5244217,0.40304557121733564,0.17609804218977598,0.015563093,0.8817323,0.11685176673588527,0.4523537294548987
Endothelial,Epithelial,HSPA8,LDLR,0.7649007,0.0,0.3008635,0.09916512334793616,-0.0012327723558336057,0.011490947,0.8495554,0.44905386846820167,0.4523537294548987
SmoothMuscle,Epithelial,A2M,LRP1,0.85055774,0.0,0.12408787,0.24308087307758525,0.014088966905516864,0.005673512,0.7838567,0.886585289288913,0.4523579636164493
NK,Macrophage,MDK,SORL1,0.392614,1.0,0.102643795,-0.11637177975039914,-0.5885394244121761,0.0038242242,0.7673525,1.0,0.45241145983116116
Mono,SmoothMuscle,HSPA8,LDLR,0.5767111,1.0,0.097678855,-0.23521483029541088,-0.25961628524512304,0.0037306703,0.7628977,1.0,0.4524648082675388
Mast,Epithelial,GNAI2,PTPRU,0.54898727,0.22,0.12410496,0.16995119552978866,0.06929196355570111,0.02920458,0.7838684,1.0,0.4524648082675388
Endothelial,SmoothMuscle,NAMPT,INSR,0.39261198,0.01,0.10936628,-0.0023176892207109057,-0.1319995865822427,0.00803993,0.77296704,0.9551966675553024,0.4524648082675388
Epithelial,NK,SPARC,ENG,0.11162463,1.0,0.011891713,-0.655030288718905,-1.6224855493448125,0.00047977502,0.52889544,1.0,0.45251403648376975
Stromal_Fib,Mono,CALM3,KCNQ1,0.40347448,0.0,0.124126166,0.3883636809707558,0.09317322051940705,0.014215271,0.78388286,0.23041331344159083,0.4525183129054423
Macrophage,CD8T,COL3A1,ITGA1_ITGB1,0.39259687,1.0,0.108376354,-0.791013477798441,-2.2756881158319673,0.0011502657,0.7721682,1.0,0.4525183129054423
Endothelial,NK,CD99,PILRB,0.7255087,0.0,0.4814288,0.3193290455834255,0.21468899087180066,0.014718117,0.87719905,0.10008409319480698,0.45256323233615475
Plasma,SmoothMuscle,COL1A2,ITGA1_ITGB1,0.43949616,1.0,0.09766639,-0.05846912669688309,-1.105812794311598,0.0041586547,0.76288617,1.0,0.4525718217611818
Plasma,Mono,ANXA2,TLR2,0.72541803,0.05,0.45838448,0.9217723940324438,0.0779522107953804,0.019765452,0.87453264,1.0,0.4526330746953971
Endothelial,CD8T,GNAI2,ADCY7,0.8617244,0.0,0.30082077,0.44799600074315205,0.4476387461316643,0.0069735413,0.8495463,0.4974827698776975,0.4526330746953971
Stromal_Fib,Plasma,CXCL14,CXCR4,0.39937332,0.0,0.0976617,0.17848959980298004,0.02348857949986416,0.013673086,0.7628818,0.3811928828719431,0.4526787000830973
Epithelial,Endothelial,TNFSF10,RIPK1,0.52007204,0.0,0.1241571,0.3621044157261555,0.5750306821557145,0.0121799,0.78390396,0.1671760803991415,0.4526787000830973
Stromal_Fib,Epithelial,ANGPTL4,SDC3,0.11171947,0.0,0.011893059,0.06055954523572869,0.048133480475581136,0.03599403,0.52890956,0.566568456442199,0.452683239253364
Macrophage,NK,LGALS9,HAVCR2,0.7253961,0.0,0.49166146,1.3648664370066426,1.09120381655051,0.056829274,0.87832737,0.018135159405295108,0.45270292108683163
Endothelial,Macrophage,HSPA8,LDLR,0.68662566,1.0,0.09765929,-0.10298945529310195,-0.17249065252485163,0.0037299232,0.76287955,1.0,0.4527322215813577
Treg,Treg,CD99,CD81,0.72538376,1.0,0.51532245,-0.8653805775404236,-1.1746640249051334,0.0021228148,0.88081664,1.0,0.4527727715101266
Epithelial,Plasma,NUCB2,ERAP1,0.4083151,0.0,0.09764535,0.09697013531508797,0.0693179511382005,0.0058639385,0.7628667,0.8385074271109388,0.4527857472981184
